station_id,station_name,num_departures,num_arrivals
656,Damen Ave & Walnut (Lake) St (*),8,7
374,Western Ave & Walton St,304,345
181,LaSalle St & Illinois St,980,1006
326,Clark St & Leland Ave,216,219
142,McClurg Ct & Erie St,825,849
37,Dearborn St & Adams St,625,617
94,Clark St & Armitage Ave,970,993
33,State St & Van Buren St,608,524
165,Clark St & Grace St,353,360
19,Loomis St & Taylor St (*),424,422
21,Aberdeen St & Jackson Blvd,627,659
230,Lincoln Ave & Roscoe St,425,469
382,Western Ave & Congress Pkwy,64,68
329,Lake Shore Dr & Diversey Pkwy,582,538
623,Michigan Ave & 8th St,617,571
228,Damen Ave & Melrose Ave,132,134
613,Wisconsin Ave & Madison St (Temp),2,1
370,Calumet Ave & 21st St,188,167
141,Clark St & Lincoln Ave,848,955
296,Broadway & Belmont Ave,544,591
571,Vernon Ave & 75th St,8,1
135,Halsted St & 21st St,43,75
97,Field Museum,444,364
244,Ravenswood Ave & Irving Park Rd,227,266
477,Manor Ave & Leland Ave,55,54
585,Cottage Grove Ave & 83rd St,4,11
485,Sawyer Ave & Irving Park Rd,50,58
519,Wolcott Ave & Fargo Ave,9,15
444,Albany Ave & 26th St,9,11
101,63rd St Beach,51,46
435,Kedzie Ave & Roosevelt Rd,8,5
386,Halsted St & 56th St,3,5
561,Damen Ave & 59th St,2,2
433,Kedzie Ave & Harrison St,1,4
644,Western Ave & Fillmore St (*),1,2
239,Western Ave & Leland Ave,292,307
192,Canal St & Adams St,3138,2967
18,Wacker Dr & Washington St,941,850
327,Sheffield Ave & Webster Ave,547,621
52,Michigan Ave & Lake St,1134,1099
116,Western Ave & Winnebago Ave,365,361
307,Southport Ave & Clybourn Ave,364,420
299,Halsted St & Roscoe St,577,586
321,Wabash Ave & 9th St,596,585
243,Lincoln Ave & Sunnyside Ave,234,249
240,Sheridan Rd & Irving Park Rd,543,603
27,Larrabee St & North Ave,212,210
67,Sheffield Ave & Fullerton Ave,846,814
226,Racine Ave & Belmont Ave,374,355
161,Rush St & Superior St,603,597
215,Damen Ave & Madison St,118,118
403,Wentworth Ave & 33rd St,91,66
213,Leavitt St & North Ave,225,192
159,Claremont Ave & Hirsch St,140,142
523,Eastlake Ter & Rogers Ave,114,93
603,Chicago Ave & Sheridan Rd,110,98
149,Calumet Ave & 33rd St,149,129
178,State St & 19th St,122,120
510,Spaulding Ave & Division St,47,63
599,Valli Produce - Evanston Plaza,20,25
591,Kilbourn Ave & Milwaukee Ave,40,34
601,Central St Metra,44,85
527,Western Ave & Howard St,25,34
586,MLK Jr Dr & 83rd St,11,8
544,Austin Blvd & Madison St,5,4
409,Shields Ave & 43rd St,1,2
631,Malcolm X College,21,21
655,Hoyne Ave & Balmoral Ave,3,14
632,Clark St & Newport St,12,11
