bikeid,max_tripduration,min_tripduration,average_tripduration
566,9833.00,235.00,1437.02
1703,3673.00,138.00,801.27
927,6110.00,169.00,1013.40
5955,14266.00,177.00,1692.24
6468,8576.00,206.00,1133.18
2990,4214.00,110.00,1115.16
3759,38046.00,196.00,2028.34
1303,7549.00,240.00,1154.18
1277,3334.00,138.00,754.59
5864,2515.00,149.00,880.88
3258,4596.00,165.00,788.56
5058,6700.00,132.00,1245.90
3251,2553.00,152.00,865.17
3257,4405.00,119.00,822.05
3479,2541.00,205.00,848.60
5243,6477.00,176.00,1166.33
4432,2935.00,157.00,732.58
868,6766.00,386.00,1481.58
6348,9659.00,152.00,1366.17
4266,7837.00,77.00,983.70
5656,7904.00,304.00,1589.20
3324,3108.00,312.00,955.33
2846,7810.00,167.00,1000.93
3867,4964.00,115.00,1155.60
6085,16875.00,128.00,1220.59
1494,2203.00,268.00,789.33
6241,7464.00,93.00,920.39
2793,1880.00,116.00,805.63
5514,1738.00,123.00,597.73
4979,2576.00,180.00,781.12
2149,2839.00,107.00,781.34
5104,5284.00,198.00,853.58
3426,8665.00,159.00,1154.25
5178,8004.00,99.00,953.12
3652,9783.00,153.00,1253.58
3906,789.00,311.00,550.00
5324,7525.00,147.00,870.51
5806,4758.00,335.00,1814.22
4762,3040.00,143.00,876.20
4007,1324.00,212.00,688.00
3793,8870.00,123.00,1471.85
6374,8048.00,109.00,972.05
6302,71035.00,107.00,2088.15
6054,2330.00,183.00,645.61
1394,7121.00,139.00,859.12
985,1496.00,304.00,774.50
4935,170.00,170.00,170.00
5785,3196.00,106.00,871.76
6207,1769.00,109.00,562.78
2237,4867.00,178.00,1050.20
5686,2644.00,245.00,928.27
4298,5531.00,184.00,901.66
1793,3398.00,128.00,985.46
2958,590.00,332.00,417.25
5726,8095.00,148.00,1242.00
5043,2613.00,160.00,684.19
4920,7085.00,179.00,1059.51
6359,4574.00,165.00,762.79
1585,4791.00,230.00,910.80
5347,9212.00,133.00,1094.03
5538,3380.00,157.00,767.20
2080,3375.00,195.00,953.57
707,3091.00,220.00,1066.83
5385,5832.00,120.00,942.14
28,10450.00,199.00,1204.82
237,2016.00,115.00,698.86
6189,5576.00,137.00,1041.15
743,4427.00,184.00,1032.21
6001,2679.00,158.00,817.07
2945,12103.00,221.00,1295.40
4562,3544.00,199.00,957.10
5234,6451.00,261.00,1514.85
4161,1487.00,136.00,606.80
1432,4784.00,134.00,1091.40
5379,2543.00,96.00,813.70
2866,3306.00,107.00,970.47
1144,2197.00,240.00,853.72
3874,4523.00,164.00,1052.21
